,EMG 1,EMG 2,EMG 3,EMG 4,EMG 5,EMG 6,EMG 7,EMG 8,Eat,Max,Min,Mean,StD,RMS,FFT
1106,4,0,-4,-2,-2,-1,1,4,True,4,-4,0.0,2.8784916685156974,2.692582403567252,0.0
1107,14,11,11,2,0,0,3,-13,True,14,-13,3.5,8.635475005547093,8.803408430829505,28.0
1108,-26,-17,-3,-2,6,-1,-3,-4,True,6,-26,-6.25,10.194536351819607,11.40175425099138,-50.0
1109,-25,-26,-7,0,6,4,3,-3,True,6,-26,-6.0,12.71669319101022,13.322912594474229,-48.0
1110,21,20,2,-3,0,12,7,-9,True,21,-9,6.25,10.793516572461451,11.874342087037917,50.0
1111,-8,-1,2,3,-5,-10,-8,-6,True,3,-10,-4.125,4.882549100038392,6.154266812545585,-33.0
1112,-10,-41,-4,-2,-4,-3,-16,3,True,3,-41,-9.625,13.886658551080087,16.167096214224742,-77.0
1113,25,20,3,-6,-11,-2,1,17,True,25,-11,5.875,13.141401316885066,13.624426593438713,47.0
1114,3,2,0,-1,2,5,6,14,True,14,-1,3.875,4.703721930556695,5.863019699779287,31.0
1115,-22,1,1,3,17,3,-1,-6,True,17,-22,-0.5,10.875923606099589,10.18577439373168,-4.0
1116,10,1,1,2,-3,-5,-3,-1,True,10,-5,0.25,4.621378891320518,4.330127018922194,2.0
1117,-8,-2,-3,-2,-11,-2,-1,-4,True,-1,-11,-4.125,3.5228843701879127,5.2796780204857185,-33.0
1118,7,3,1,1,-4,1,4,9,True,9,-4,2.75,4.026696625558686,4.663689526544408,22.0
1119,-1,-2,-1,-3,4,1,-2,-14,True,4,-14,-2.25,5.230405611149374,5.385164807134504,-18.0
1120,-5,6,10,9,-3,-1,2,-1,True,10,-5,2.125,5.617256574927962,5.667892024377317,17.0
1121,0,4,5,1,4,4,17,10,True,17,0,5.625,5.475595205741825,7.607562027351469,45.0
1122,-3,-1,-5,-5,-2,-6,-5,-3,True,-1,-6,-3.75,1.752549163769328,4.092676385936225,-30.0
1123,1,-10,-7,-1,-8,-6,1,1,True,1,-10,-3.625,4.596194077712559,5.623610939600996,-29.0
1124,6,-13,-4,-3,-3,-4,1,5,True,6,-13,-1.875,6.010407640085654,5.926634795564849,-15.0
1125,1,14,7,2,10,5,-13,-10,True,14,-13,2.0,9.350324669687755,8.972179222463181,16.0
1126,-1,0,-8,-6,0,-3,-5,9,True,9,-8,-1.75,5.230405611149374,5.196152422706632,-14.0
1127,3,2,2,-1,-11,-8,-2,3,True,3,-11,-1.5,5.31843156256751,5.196152422706632,-12.0
1128,1,4,-3,1,0,-1,1,-9,True,4,-9,-0.75,3.882193783343198,3.7080992435478315,-6.0
1129,-15,-4,-10,-6,-10,-6,-1,3,True,3,-15,-6.125,5.642631098546644,8.085480814398114,-49.0
1130,-2,4,-6,-3,-5,-4,-8,-23,True,4,-23,-5.875,7.772432970808708,9.347459547919959,-47.0
1131,21,4,-3,5,13,3,3,5,True,21,-3,6.375,7.347254103210454,9.374166629626338,51.0
1132,-1,-3,-7,-4,-2,0,5,-2,True,5,-7,-1.75,3.4537764010675946,3.6742346141747673,-14.0
1133,3,2,-1,-1,-8,-2,-1,-7,True,3,-8,-1.875,3.8706773124535783,4.077376607575022,-15.0
1134,10,-2,2,6,4,5,-2,-3,True,10,-3,2.5,4.59813626840888,4.9749371855331,20.0
1135,-11,-6,5,1,-1,4,-1,8,True,8,-11,-0.125,6.151364540838538,5.755432216610669,-1.0
1136,-9,2,3,-4,7,-1,2,21,True,21,-9,2.625,8.863045268335902,8.696263565463044,21.0
1137,-11,-1,-1,-2,-1,13,8,6,True,13,-11,1.375,7.386038953902926,7.044501401802686,11.0
1138,19,13,1,1,-1,0,12,9,True,19,-1,6.75,7.497618669570072,9.733961166965893,54.0
1139,-1,-7,-5,-6,4,6,-11,-10,True,6,-11,-3.75,6.22781777878209,6.928203230275509,-30.0
1140,27,4,4,7,7,-1,-3,-23,True,27,-23,2.75,13.822858914545447,13.219304066402286,22.0
1141,-18,-20,0,-1,3,-5,6,0,True,6,-20,-4.375,9.575825216211319,9.968701018688442,-35.0
1142,1,-3,-8,-4,-2,-8,-14,-7,True,1,-14,-5.625,4.627171304989074,7.097534783289195,-45.0
1143,-15,8,7,-3,-4,-6,-6,0,True,8,-15,-2.375,7.46300399111702,7.3739406018763125,-19.0
1144,15,11,1,3,21,3,3,6,True,21,1,7.875,7.120142454433659,10.313825672368134,63.0
1145,-2,-8,-5,11,1,-4,-7,-4,True,11,-8,-2.25,6.041522986797286,6.082762530298219,-18.0
1146,-25,2,1,2,4,-4,4,-11,True,4,-25,-3.375,10.0844647141744,10.01873245475694,-27.0
1147,42,0,-4,-6,-5,-4,1,0,True,42,-6,3.0,15.973191827022461,15.239750654128171,24.0
1148,3,-4,-3,-6,-13,-5,-14,-16,True,3,-16,-7.25,6.497252166438187,9.460443964212251,-58.0
1149,-21,-17,-6,-1,0,-2,2,-5,True,2,-21,-6.25,8.345229603962801,10.0,-50.0
1150,0,-3,-1,1,0,2,1,8,True,8,-3,1.0,3.2071349029490923,3.1622776601683795,8.0
1151,13,14,5,-3,-2,-5,-3,0,True,14,-5,2.375,7.4821215478728265,7.390872749547241,19.0
1152,-3,-5,0,-6,-14,0,-13,12,True,12,-14,-3.625,8.227783940492639,8.507349763586777,-29.0
1153,9,14,-1,-5,-13,-6,4,17,True,17,-13,2.375,10.473606283006278,10.080922576827977,19.0
1154,-15,-11,-1,-5,-11,0,12,14,True,14,-15,-2.125,10.669549461635468,10.204165815979275,-17.0
1155,2,5,2,9,18,5,2,-18,True,18,-18,3.125,10.091545258992088,9.943590900675671,25.0
1156,-9,-14,-7,-1,1,-2,-5,-18,True,1,-18,-6.875,6.577830732305077,9.226321043622967,-55.0
1157,10,-1,6,-2,-3,-2,1,-9,True,10,-9,0.0,5.80640040940045,5.431390245600108,0.0
1158,2,5,-5,-1,1,-1,-1,-2,True,5,-5,-0.25,2.9640705601780613,2.7838821814150108,-2.0
1159,-14,-12,0,-2,0,4,7,4,True,7,-14,-1.625,7.595816517756901,7.2886898685566255,-13.0
1160,1,-2,-7,-6,-7,-4,-4,-3,True,1,-7,-4.0,2.7255405754769875,4.743416490252569,-32.0
1161,22,-3,-9,-7,-4,-1,5,25,True,25,-9,3.5,13.04935685333627,12.698425099200294,28.0
1162,14,5,10,6,18,2,0,8,True,18,0,7.875,6.010407640085654,9.676001240181813,63.0
1163,8,-8,-4,0,-1,0,-3,-16,True,8,-16,-3.0,6.948792289723034,7.158910531638177,-24.0
1164,-19,2,6,-1,-6,-2,2,-7,True,6,-19,-3.125,7.717096048940393,7.866066361276137,-25.0
1165,-23,-19,-9,-4,-2,1,-10,-2,True,1,-23,-8.5,8.602325267042627,11.704699910719626,-68.0
1166,-16,-9,-8,-2,-1,1,-4,6,True,6,-16,-4.125,6.791538853603062,7.574628703771558,-33.0
1167,-33,-13,-5,-2,-2,4,3,-23,True,4,-33,-8.875,13.173973258989538,15.18634254848744,-71.0
1168,26,15,7,3,3,-15,0,15,True,26,-15,6.75,12.267844146385297,13.313526955694348,54.0
1169,12,13,3,1,-1,-1,-5,-1,True,13,-5,2.625,6.501373481262028,6.623820649745885,21.0
1170,4,-4,-2,1,11,7,6,23,True,23,-4,5.75,8.514693182963201,9.82344135219425,46.0
1363,-2,10,3,3,13,9,4,14,True,14,-2,6.75,5.599744892148467,8.54400374531753,54.0
1364,3,-5,-1,-6,0,0,-2,12,True,12,-6,0.125,5.5917669070569405,5.232112384114087,1.0
1365,-2,1,-4,-1,-12,-6,1,7,True,7,-12,-2.0,5.606119105813881,5.612486080160912,-16.0
1366,13,-15,-10,-6,-9,-12,-2,7,True,13,-15,-4.25,9.7357955137582,10.04987562112089,-34.0
1367,-13,-12,-3,-3,-5,-10,-4,6,True,6,-13,-5.5,6.164414002968976,7.968688725254614,-44.0
1368,19,1,-5,0,-1,0,-1,-1,True,19,-5,1.5,7.28991475552747,6.98212002188447,12.0
1369,-4,-11,5,2,2,1,2,0,True,5,-11,-0.375,4.983902658989812,4.677071733467427,-3.0
1370,-2,11,1,-2,-2,-3,-1,10,True,11,-3,1.5,5.68205194324324,5.522680508593631,12.0
1371,-1,-7,4,5,-3,9,1,1,True,9,-7,1.125,4.969550137731641,4.782781617427248,9.0
1372,-1,4,0,0,0,-6,-1,1,True,4,-6,-0.375,2.774243783705493,2.622022120425379,-3.0
1373,-4,-1,-6,-4,-4,-4,-1,11,True,11,-6,-1.625,5.370222128951997,5.2796780204857185,-13.0
1374,-2,8,-2,-3,0,11,3,-12,True,11,-12,0.375,7.110103475236589,6.661456297237114,3.0
1375,-13,4,-9,-4,-2,-1,4,-7,True,4,-13,-3.5,6.023762469230862,6.6332495807108,-28.0
1376,6,-1,0,1,9,-5,-3,-16,True,9,-16,-1.125,7.548651724456683,7.1501748230375455,-9.0
1377,-15,-9,1,-2,-4,2,-3,-7,True,2,-15,-4.625,5.578978401105349,6.9731628404906765,-37.0
1378,-15,1,3,1,-2,0,-2,0,True,3,-15,-1.75,5.599744892148467,5.522680508593631,-14.0
1379,16,9,4,-1,-4,-2,0,-9,True,16,-9,1.625,7.872873862646528,7.541551564499178,13.0
1380,2,-4,-3,-4,-1,-3,-3,-7,True,2,-7,-2.875,2.5877458475338284,3.758324094593227,-23.0
1381,6,7,5,-4,-8,-3,1,-6,True,7,-8,-0.25,5.800246300189082,5.431390245600108,-2.0
1382,0,-9,-1,0,-3,-9,-13,2,True,2,-13,-4.125,5.462534733462636,6.566962768281849,-33.0
1383,2,-15,0,2,6,1,0,5,True,6,-15,0.125,6.490377492873585,6.072478900745559,1.0
1384,16,4,-1,-2,0,-4,-3,-16,True,16,-16,-0.75,8.892211680534183,8.351646544245034,-6.0
1385,-21,-5,-1,1,9,-14,-7,-2,True,9,-21,-5.0,9.242757782641036,9.987492177719089,-40.0
1386,28,7,-1,0,-5,-1,1,3,True,28,-5,4.0,10.295630140987,10.428326807307105,32.0
1387,4,-4,2,3,4,4,-1,-15,True,4,-15,-0.375,6.566962768281849,6.154266812545585,-3.0
1388,-12,-1,2,-2,28,21,6,12,True,28,-12,6.75,13.057564857200596,13.955285736952863,54.0
1389,-2,8,-3,-1,-8,1,-2,0,True,8,-8,-0.875,4.4860896112315904,4.286607049870562,-7.0
1390,-13,0,3,3,1,4,7,24,True,24,-13,3.625,10.169105874447089,10.179636535751166,29.0
1391,-17,-15,-4,0,3,5,1,-7,True,5,-17,-4.25,8.18971480403491,8.760707733967616,-34.0
1392,2,-8,-5,-1,-10,-9,-4,-5,True,2,-10,-5.0,4.070801956792859,6.284902544988268,-40.0
1393,-3,7,-2,0,-1,-15,-5,-4,True,7,-15,-2.875,6.128096884724606,6.41287766919033,-23.0
1394,-16,-1,-1,-3,-10,-3,2,-1,True,2,-16,-4.125,5.914570386523678,6.90108687092113,-33.0
1395,1,0,8,8,1,6,4,5,True,8,0,4.125,3.181980515339464,5.086747487343951,33.0
1396,-4,-4,-1,-4,-11,-7,-1,-7,True,-1,-11,-4.875,3.3567628964311944,5.798706752371601,-39.0
1397,10,10,2,-2,5,4,-1,-18,True,10,-18,1.25,8.956242834709524,8.470537173048708,10.0
1398,6,10,1,-2,-9,-10,-4,4,True,10,-10,-0.5,7.091242083423347,6.652067347825035,-4.0
1399,-2,-2,5,4,25,12,3,1,True,25,-2,5.75,8.972179222463181,10.173494974687902,46.0
1400,20,16,0,-3,-1,0,0,9,True,20,-3,5.125,8.757649717328764,9.663074045043844,41.0
1401,-3,-4,2,0,-10,-6,-8,5,True,5,-10,-3.0,5.0990195135927845,5.634713834792322,-24.0
1402,1,-11,6,8,8,7,9,10,True,10,-11,4.75,6.923046397979102,8.031189202104505,38.0
1403,2,-1,0,-3,-6,1,0,5,True,5,-6,-0.25,3.284161123592185,3.082207001484488,-2.0
1404,5,-9,-4,0,-5,0,-4,0,True,5,-9,-2.125,4.257346591481601,4.513867521316947,-17.0
1405,1,-14,-5,-5,-5,-2,-1,-13,True,1,-14,-5.5,5.398412465054624,7.466592261534039,-44.0
1406,7,22,0,3,1,-1,7,-9,True,22,-9,3.75,8.956242834709524,9.17877987534291,30.0
1407,1,14,-4,-4,-4,-4,3,11,True,14,-4,1.625,7.269063606427289,6.991065727054782,13.0
1408,-14,-17,-3,-1,-1,3,2,-14,True,3,-17,-5.625,8.034523721327322,9.387491677759293,-45.0
1409,0,-8,-5,-5,-8,-3,-4,-11,True,0,-11,-5.5,3.4226138716316967,6.363961030678928,-44.0
1410,-19,2,-3,-3,-11,-9,-4,-12,True,2,-19,-7.375,6.653409437488207,9.650129532809391,-59.0
1411,-3,-1,3,3,29,15,1,3,True,29,-3,6.25,10.63350499936068,11.74734012447073,50.0
1412,-2,1,0,-2,4,-1,-2,-1,True,4,-2,-0.375,2.0658792662827956,1.9685019685029528,-3.0
1413,-15,-21,3,3,-5,-4,-2,-6,True,3,-21,-5.875,8.356990230596521,9.778803607803972,-47.0
1414,7,-18,-4,-5,1,-13,-10,7,True,7,-18,-4.375,9.101608962940878,9.572094859538323,-35.0
1415,12,4,-3,0,-10,-3,-1,2,True,12,-10,0.125,6.356942211921883,5.947688626685159,1.0
1416,-9,-3,-8,-2,-4,3,-3,0,True,3,-9,-3.25,3.918819064098629,4.898979485566356,-26.0
1417,19,20,-1,-2,-4,-1,0,9,True,20,-4,5.0,9.739463170891035,10.392304845413264,40.0
1418,-3,1,-1,1,6,7,-2,-4,True,7,-4,0.625,4.033343171967536,3.824264635194589,5.0
1419,-9,8,2,10,-2,-5,3,4,True,10,-9,1.375,6.41287766919033,6.154266812545585,11.0
1420,5,0,-3,2,6,3,-1,-8,True,6,-8,0.5,4.566962103755937,4.301162633521313,4.0
1421,-11,-14,0,-5,-10,-2,-1,4,True,4,-14,-4.875,6.243568119044018,7.607562027351469,-39.0
1422,9,0,9,7,6,1,-2,6,True,9,-2,4.5,4.242640687119285,6.0,36.0
1423,-1,2,-6,-2,-1,-4,-5,-13,True,2,-13,-3.75,4.527692569068709,5.656854249492381,-30.0
1424,-1,-1,-1,-6,-15,-5,-1,-11,True,-1,-15,-5.125,5.356904756613521,7.167635593415725,-41.0
1425,3,-3,-2,-2,-3,4,-1,5,True,5,-3,0.125,3.3139316313320126,3.1024184114977142,1.0
1426,-2,2,5,-1,-4,-1,0,11,True,11,-4,1.25,4.77343841331532,4.636809247747852,10.0
1427,-5,-4,-3,-2,-1,-35,-19,-13,True,-1,-35,-10.25,11.76860229593982,15.041608956491324,-82.0
1428,5,7,-2,-3,-4,-4,-2,0,True,7,-4,-0.375,4.172614801981401,3.9210967853395307,-3.0
1429,-9,-11,14,0,-1,9,5,-9,True,14,-11,-0.25,9.145646895810987,8.558621384311845,-2.0
1430,1,3,-8,0,-1,-4,-7,-3,True,3,-8,-2.375,3.8521793460696654,4.315669125408017,-19.0
1707,10,9,0,-3,7,5,-4,-7,True,10,-7,2.125,6.468329437674439,6.41287766919033,17.0
1708,-2,-8,-8,-8,-8,-2,2,10,True,10,-8,-3.0,6.502746672423452,6.782329983125268,-24.0
1709,20,4,-1,-6,-19,-7,-4,2,True,20,-19,-1.375,11.13472688740693,10.505950694725348,-11.0
1710,-8,1,1,5,30,6,2,6,True,30,-8,5.375,10.927520957916954,11.548809462451096,43.0
1711,-6,-18,-8,-3,-1,-3,0,-5,True,0,-18,-5.5,5.68205194324324,7.648529270389178,-44.0
1712,8,-6,-2,-3,-7,-12,-8,-8,True,8,-12,-4.75,6.017830648521585,7.365459931328117,-38.0
1713,4,7,4,4,-15,-5,-1,-5,True,7,-15,-0.875,7.239524451627626,6.8282501418738315,-7.0
1714,-26,-8,3,-2,-6,6,6,7,True,7,-26,-2.5,11.084094137869041,10.665364503850771,-20.0
1715,15,-4,-4,-4,2,-1,-2,-17,True,15,-17,-1.875,8.806450557890587,8.448372624357901,-15.0
1716,4,12,-6,-2,-10,-2,-1,11,True,12,-10,0.75,7.7597864477242995,7.297259759663212,6.0
1717,0,7,0,0,-6,-6,-2,8,True,8,-6,0.125,5.19443383412888,4.860555523805895,1.0
1718,4,-11,-7,-1,-3,-4,-3,-10,True,4,-11,-4.375,4.897156609415596,6.334429729659964,-35.0
1719,15,10,3,1,3,2,2,-11,True,15,-11,3.125,7.510706643566522,7.6892782496148495,25.0
1720,-14,-18,-8,-4,-4,-3,-1,0,True,0,-18,-6.5,6.414269805898185,8.845903006477066,-52.0
1721,6,4,0,2,-1,-1,4,14,True,14,-1,3.5,4.956957592256421,5.809475019311125,28.0
1722,6,-1,-1,-2,0,2,-1,2,True,6,-2,0.625,2.615202805574687,2.5248762345905194,5.0
1723,-3,-2,0,-1,-4,-2,-1,4,True,4,-4,-1.125,2.416461403433896,2.5248762345905194,-9.0
1724,-15,-6,6,3,0,-2,-2,-5,True,6,-15,-2.625,6.368168608679533,6.509608283145768,-21.0
1725,-7,-7,-7,-7,-18,-9,-6,-4,True,-4,-18,-8.125,4.223657859520076,9.034655499796326,-65.0
1726,7,3,6,6,25,17,0,4,True,25,0,8.5,8.298020417975774,11.510864433221338,68.0
1727,-6,-3,-2,-2,-8,-8,-7,-10,True,-2,-10,-5.75,3.0589447293376937,6.422616289332565,-46.0
1728,7,-6,-2,-4,-12,-6,-2,-7,True,7,-12,-4.0,5.477225575051661,6.5,-32.0
1729,-12,-3,7,1,11,7,3,-5,True,11,-12,1.125,7.529703086538577,7.132671308843553,9.0
1730,-7,5,-4,-2,-5,-2,6,11,True,11,-7,0.25,6.318905872741849,5.916079783099616,2.0
1731,1,-5,4,1,3,-1,-3,9,True,9,-5,1.125,4.356850107261306,4.227883631321941,9.0
1732,12,10,0,-2,-7,-8,-1,13,True,13,-8,2.125,8.408116826699578,8.147085368400163,17.0
1733,6,5,-3,2,21,7,2,7,True,21,-3,5.875,6.978282637685906,8.782084035125148,47.0
1734,17,5,-5,-2,0,8,-1,-4,True,17,-5,2.25,7.4017372478165075,7.280109889280518,18.0
1735,-7,-4,1,3,7,0,12,1,True,12,-7,1.625,5.950690236074659,5.798706752371601,13.0
1736,2,2,2,-3,-7,-4,-4,-16,True,2,-16,-3.5,6.09449400220044,6.689544080129826,-28.0
1737,-9,-12,-2,-1,-4,3,0,-3,True,3,-12,-3.5,4.869731585445518,5.744562646538029,-28.0
1738,7,-10,-8,-2,-9,-1,4,-4,True,7,-10,-2.875,6.151364540838538,6.4323401651343035,-23.0
1739,32,4,-1,-2,-9,-14,-15,-4,True,32,-15,-1.125,14.894270231007818,13.977660748494364,-9.0
1740,23,4,5,-2,-2,-4,-5,2,True,23,-5,2.625,9.00694176732591,8.824681297361396,21.0
1741,-31,2,-4,0,30,3,0,-4,True,30,-31,-0.5,16.492422502470642,15.435349040433131,-4.0
1742,-20,-14,1,2,2,-2,-2,2,True,2,-20,-3.875,8.425090080061034,8.782084035125148,-31.0
1743,27,16,0,-4,-14,-3,-3,-4,True,27,-14,1.875,13.10874844194844,12.404636230055278,15.0
1744,-15,-1,2,-2,-1,-26,-11,-20,True,2,-26,-9.25,10.33371735077529,13.379088160259652,-74.0
1745,-3,0,1,1,-1,-13,-16,-9,True,1,-16,-5.0,6.740072064048827,8.04673846971554,-40.0
1746,0,-3,0,7,-6,3,3,-1,True,7,-6,0.375,3.9977672339873487,3.758324094593227,3.0
1747,12,2,-3,-2,-1,4,2,-13,True,12,-13,0.125,7.079901129253148,6.623820649745885,1.0
1748,-4,-2,-5,-1,9,1,-3,4,True,9,-5,-0.125,4.6732521560777895,4.373213921133975,-1.0
1749,-19,-8,-1,-10,-7,7,11,25,True,25,-19,-0.25,13.987239082208367,13.0862523283024,-2.0
1750,1,-4,-3,-2,5,1,-4,-6,True,5,-6,-1.5,3.585685828003181,3.6742346141747673,-12.0
1751,-10,-13,-5,-7,-20,0,1,0,True,1,-20,-6.75,7.363035088486657,9.643650760992955,-54.0
1752,-9,18,0,-5,-7,1,3,19,True,19,-9,2.5,10.690449676496975,10.307764064044152,20.0
1753,0,12,10,-3,-6,0,-1,-3,True,12,-6,1.125,6.424006315599101,6.113509630318742,9.0
1754,-6,-9,-3,7,2,3,-1,-9,True,7,-9,-2.0,5.830951894845301,5.809475019311125,-16.0
1755,-10,8,9,40,93,16,4,-1,True,93,-10,19.875,32.96507892560594,36.68616905592624,159.0
1756,4,12,3,0,-3,3,2,5,True,12,-3,3.25,4.334248987508019,5.196152422706632,26.0
1757,6,-10,-8,-11,-32,-5,-6,-4,True,6,-32,-8.75,10.75373689202303,13.332291625973383,-70.0
1758,4,1,9,6,11,1,3,5,True,11,1,5.0,3.585685828003181,6.020797289396148,40.0
1759,-1,-12,-9,0,1,-1,-1,-7,True,1,-12,-3.75,4.862392121462145,5.894913061275798,-30.0
1760,-22,-17,-5,-6,-3,-4,3,-3,True,3,-22,-7.125,8.201698430377524,10.470195795685962,-57.0
1761,-3,0,-5,-4,-14,-5,3,-4,True,3,-14,-4.0,4.898979485566356,6.082762530298219,-32.0
1762,11,-8,4,-2,-1,-1,-2,-9,True,11,-9,-1.0,6.369570517030843,6.041522986797286,-8.0
1763,-2,0,-5,-6,-16,-3,-1,15,True,15,-16,-2.25,8.581541653039805,8.336666000266533,-18.0
1764,1,3,1,-6,-17,3,-9,-22,True,3,-22,-5.75,9.602826964716469,10.665364503850771,-46.0
1765,4,-6,-9,-19,-39,-3,7,-1,True,7,-39,-8.25,14.781745499094482,16.101242188104617,-66.0
1766,0,2,7,16,43,12,4,-3,True,43,-3,10.125,14.672009308300522,17.05505790081054,81.0
1767,11,-8,-6,-1,6,4,2,-9,True,11,-9,-0.125,7.16015761997298,6.698880503487131,-1.0
1768,3,11,-5,-6,-8,0,2,-4,True,11,-8,-0.875,6.197637798848388,5.863019699779287,-7.0
1769,-17,14,-1,-6,-10,-6,1,6,True,14,-17,-2.375,9.635314510397972,9.320675941153624,-19.0
1770,7,15,4,1,-1,-3,1,8,True,15,-3,4.0,5.830951894845301,6.7638746292343415,32.0
1771,-6,-1,1,2,-7,-8,-8,13,True,13,-8,-1.75,7.206148168652336,6.96419413859206,-14.0
1772,-19,-11,-7,7,17,6,8,6,True,17,-19,0.875,11.945561040463046,11.208255885729947,7.0
1773,-18,-7,1,0,6,5,7,23,True,23,-18,2.125,11.813279452741792,11.2527774349269,17.0
1774,-14,-5,-4,-7,-14,-11,-2,4,True,4,-14,-6.625,6.232117273791125,8.824681297361396,-53.0
1775,-9,-16,4,5,4,5,7,3,True,7,-16,0.375,8.245128431816138,7.721722605740251,3.0
1776,-24,-15,-6,-12,-15,-2,1,-9,True,1,-24,-10.25,8.031189202104505,12.708265027138834,-82.0
1777,18,15,0,4,8,3,-11,-53,True,18,-53,-2.0,22.475383359196726,21.118712081942874,-16.0
1778,3,17,-8,-8,-8,-8,-5,7,True,17,-8,-1.25,9.37702359112802,8.860022573334675,-10.0
1779,7,4,10,2,2,-5,-4,-7,True,10,-7,1.125,6.010407640085654,5.733672470589857,9.0
1780,-5,-20,-6,-5,-5,-2,0,18,True,18,-20,-3.125,10.425757937504043,10.240849574132021,-25.0
1781,-2,-13,-3,-4,-3,-3,-2,9,True,9,-13,-2.625,5.926634795564849,6.1339220731926485,-21.0
1782,3,-12,-2,-2,-4,-1,-9,-7,True,3,-12,-4.25,4.832922806867792,6.2048368229954285,-34.0
1783,28,6,2,4,4,7,1,-1,True,28,-1,6.375,9.117291264405235,10.647769719523428,51.0
1784,-5,2,-1,9,10,2,4,11,True,11,-5,4.0,5.656854249492381,6.6332495807108,32.0
1785,6,-1,-5,-5,-7,-19,-15,-4,True,6,-19,-6.25,7.796519369931321,9.604686356149273,-50.0
1786,11,6,5,-3,-1,1,1,2,True,11,-3,2.75,4.432026302139591,4.9749371855331,22.0
1787,-9,-1,1,-3,-1,-1,7,6,True,7,-9,-0.125,5.055054048036621,4.7302219821061255,-1.0
1788,0,3,8,2,3,-1,0,4,True,8,-1,2.375,2.8753881725529062,3.588175023601831,19.0
1789,-18,7,2,0,7,11,1,-17,True,11,-18,-0.875,10.894789055848147,10.228636272739392,-7.0
1790,15,4,2,-9,-13,8,1,-30,True,15,-30,-2.75,14.139610016848817,13.509256086106296,-22.0
1920,-9,6,1,2,5,0,-4,-19,True,6,-19,-2.25,8.310922245541018,8.093207028119323,-18.0
1921,-5,-17,-15,-5,-8,-4,-4,-4,True,-4,-17,-7.75,5.284748946598261,9.192388155425117,-62.0
1922,-3,-2,-3,-2,-4,-3,2,28,True,28,-4,1.625,10.809222252978506,10.240849574132021,13.0
1923,-1,-20,2,-2,-10,-2,0,-2,True,2,-20,-4.375,7.20986427452992,8.038967595406763,-35.0
1924,17,12,25,5,-2,1,-3,1,True,25,-3,7.0,10.042765697612529,11.715374513859981,56.0
1925,-3,-1,-10,-4,-1,-3,2,5,True,5,-10,-1.875,4.421942042651783,4.541475531146237,-15.0
1926,-2,-4,-10,-2,-5,2,-4,4,True,4,-10,-2.625,4.307385683749649,4.808846015417836,-21.0
1927,-3,13,14,6,6,3,-4,-7,True,14,-7,3.5,7.764387566686396,8.06225774829855,28.0
1928,-10,1,6,12,16,1,3,-8,True,16,-10,2.625,8.91126894924142,8.739279146474267,21.0
1929,-3,-6,-7,-4,-3,0,-2,-3,True,0,-7,-3.5,2.2038926600773587,4.06201920231798,-28.0
1930,-1,-4,-3,-5,-8,-3,-6,-15,True,-1,-15,-5.625,4.34042460069124,6.937218462755804,-45.0
1931,0,3,-5,2,1,-2,2,10,True,10,-5,1.375,4.34042460069124,4.286607049870562,11.0
1932,-6,-3,-2,-2,3,1,-1,6,True,6,-6,-0.5,3.7416573867739413,3.5355339059327378,-4.0
1933,-3,-3,-8,-6,-5,-1,-2,-16,True,-1,-16,-5.5,4.810702354423639,7.106335201775948,-44.0
1934,-5,-3,-5,-6,-5,0,1,-8,True,1,-8,-3.875,3.044315545875155,4.808846015417836,-31.0
